Station_Name_EN__c,Station_Name_TH__c,Line__c,Location__Latitude__s,Location__Longitude__s
Ha Yaek Lat Phrao,ห้าแยกลาดพร้าว,BTS Sukhumvit,13.8126,100.5574
Phahon Yothin 24,พหลโยธิน 24,BTS Sukhumvit,13.8198,100.5607
Ratchayothin,รัชโยธิน,BTS Sukhumvit,13.8279,100.5643
Sena Nikhom,เสนานิคม,BTS Sukhumvit,13.8344,100.5672
Bang Bua,บางบัว,BTS Sukhumvit,13.8521,100.5752
Infantry Regiment 11,กรมทหารราบที่ 11,BTS Sukhumvit,13.8577,100.5778
Phahon Yothin 59,พหลโยธิน 59,BTS Sukhumvit,13.8689,100.5830
Bhumibol Adulyadej Hospital,รพ.ภูมิพลอดุลยเดช,BTS Sukhumvit,13.8857,100.5908
Royal Thai Air Force Museum,พิพิธภัณฑ์กองทัพอากาศ,BTS Sukhumvit,13.8913,100.5934
Yaek Kor Por Or,แยก คปอ.,BTS Sukhumvit,13.8969,100.5960
