Station_Name_EN,Station_Name_TH,Line,Latitude,Longitude
Mo Chit,หมอชิต,BTS Sukhumvit,13.8029,100.5533
Saphan Khwai,สะพานควาย,BTS Sukhumvit,13.7946,100.5497
Ari,อารีย์,BTS Sukhumvit,13.7876,100.5476
Sanam Pao,สนามเป้า,BTS Sukhumvit,13.7811,100.5466
Victory Monument,อนุสาวรีย์ชัยสมรภูมิ,BTS Sukhumvit,13.7636,100.5373
Phaya Thai,พญาไท,BTS Sukhumvit,13.7567,100.5345
Ratchathewi,ราชเทวี,BTS Sukhumvit,13.7529,100.5314
Siam,สยาม,BTS Sukhumvit,13.7455,100.5332
Chit Lom,ชิดลม,BTS Sukhumvit,13.7435,100.5403
Phloen Chit,เพลินจิต,BTS Sukhumvit,13.7416,100.5465
Nana,นานา,BTS Sukhumvit,13.7398,100.5527
Asok,อโศก,BTS Sukhumvit,13.7367,100.5605
Phrom Phong,พร้อมพงษ์,BTS Sukhumvit,13.7306,100.5697
Thong Lo,ทองหล่อ,BTS Sukhumvit,13.7263,100.5785
Ekkamai,เอกมัย,BTS Sukhumvit,13.7224,100.5851
Phra Khanong,พระโขนง,BTS Sukhumvit,13.7152,100.5934
On Nut,อ่อนนุช,BTS Sukhumvit,13.7063,100.6009
Bang Chak,บางจาก,BTS Sukhumvit,13.6966,100.6059
Punnawithi,ปุณณวิถี,BTS Sukhumvit,13.6896,100.6093
Udom Suk,อุดมสุข,BTS Sukhumvit,13.6805,100.6145
Bang Na,บางนา,BTS Sukhumvit,13.6721,100.6200
Bearing,แบริ่ง,BTS Sukhumvit,13.6625,100.6271
Samrong,สำโรง,BTS Sukhumvit,13.6521,100.6332
Pu Chao,ปู่เจ้า,BTS Sukhumvit,13.6403,100.6396
Chang Erawan,ช้างเอราวัณ,BTS Sukhumvit,13.6318,100.6445
Royal Thai Naval Academy,โรงเรียนนายเรือ,BTS Sukhumvit,13.6230,100.6493
Pak Nam,ปากน้ำ,BTS Sukhumvit,13.6155,100.6537
Srinagarindra,ศรีนครินทร์,BTS Sukhumvit,13.6091,100.6568
Phraek Sa,แพรกษา,BTS Sukhumvit,13.5994,100.6622
Phraek Sa Mai,แพรกษาใหม่,BTS Sukhumvit,13.5884,100.6684
Sai Luat,สายลวด,BTS Sukhumvit,13.5780,100.6742
Kheha,เคหะ,BTS Sukhumvit,13.5683,100.6806
Wongwian Yai,วงเวียนใหญ่,BTS Silom,13.7229,100.4999
Pho Nimit,โพธิ์นิมิตร,BTS Silom,13.7213,100.4925
Talat Phlu,ตลาดพลู,BTS Silom,13.7195,100.4848
Wutthakat,วุฒากาศ,BTS Silom,13.7177,100.4763
Bang Wa,บางหว้า,BTS Silom,13.7218,100.4649
Krung Thon Buri,กรุงธนบุรี,BTS Silom,13.7268,100.5051
Saphan Taksin,สะพานตากสิน,BTS Silom,13.7186,100.5138
Surasak,สุรศักดิ์,BTS Silom,13.7212,100.5228
Chong Nonsi,ช่องนนทรี,BTS Silom,13.7222,100.5288
Saint Louis,เซนต์หลุยส์,BTS Silom,13.7231,100.5313
Sala Daeng,ศาลาแดง,BTS Silom,13.7262,100.5336
Ratchadamri,ราชดำริ,BTS Silom,13.7432,100.5393
Chitlom (Silom),ชิดลม (สีลม),BTS Silom,13.7435,100.5403
National Stadium,สนามกีฬาแห่งชาติ,BTS Silom,13.7468,100.5291
Lak Song,หลักสอง,BTS Silom,13.7181,100.4561
Hua Mak,หัวหมาก,BTS Silom,13.7272,100.6218
Phasi Charoen,ภาษีเจริญ,BTS Silom,13.7167,100.4690
Itsaraphap,อิสรภาพ,BTS Silom,13.7200,100.4800
Thailand Cultural Centre,ศูนย์วัฒนธรรมแห่งประเทศไทย,MRT Blue Line,13.7608,100.5684
Huai Khwang,ห้วยขวาง,MRT Blue Line,13.7682,100.5751
Sutthisan,สุทธิสาร,MRT Blue Line,13.7785,100.5682
Ratchadaphisek,รัชดาภิเษก,MRT Blue Line,13.7828,100.5607
Lat Phrao,ลาดพร้าว,MRT Blue Line,13.7895,100.5561
Phahon Yothin,พหลโยธิน,MRT Blue Line,13.7992,100.5543
Chatuchak Park,สวนจตุจักร,MRT Blue Line,13.8026,100.5541
Kamphaeng Phet,กำแพงเพชร,MRT Blue Line,13.8078,100.5524
Bang Sue,บางซื่อ,MRT Blue Line,13.8023,100.5236
Tao Poon,เตาปูน,MRT Blue Line,13.8058,100.5290
Bang Yi Khan,บางยี่ขัน,MRT Blue Line,13.7844,100.4850
Bang Khun Non,บางขุนนนท์,MRT Blue Line,13.7777,100.4832
Bang Phlat,บางพลัด,MRT Blue Line,13.7738,100.4882
Si Rat,ศิริราช,MRT Blue Line,13.7599,100.4866
Sanam Chai,สนามไชย,MRT Blue Line,13.7467,100.4960
Itsaraphap (MRT),อิสรภาพ,MRT Blue Line,13.7356,100.4930
Hua Lamphong,หัวลำโพง,MRT Blue Line,13.7381,100.5157
Sam Yan,สามย่าน,MRT Blue Line,13.7302,100.5239
Silom,สีลม,MRT Blue Line,13.7269,100.5303
Lumphini,ลุมพินี,MRT Blue Line,13.7238,100.5404
Khlong Toei,คลองเตย,MRT Blue Line,13.7222,100.5568
Queen Sirikit National Convention Centre,ศูนย์การประชุมแห่งชาติสิริกิติ์,MRT Blue Line,13.7231,100.5617
Sukhumvit,สุขุมวิท,MRT Blue Line,13.7373,100.5608
Phetchaburi,เพชรบุรี,MRT Blue Line,13.7487,100.5673
Bang Na (MRT),บางนา,MRT Blue Line,13.6723,100.6212
Bearing (MRT),แบริ่ง,MRT Blue Line,13.6631,100.6270
Samrong (MRT),สำโรง,MRT Blue Line,13.6519,100.6333
Srinagarindra (MRT),ศรีนครินทร์,MRT Blue Line,13.6374,100.6505
Phraek Sa (MRT),แพรกษา,MRT Blue Line,13.6005,100.6627
Tha Phra,ท่าพระ,MRT Blue Line,13.7252,100.4726
Phetkasem 48,เพชรเกษม 48,MRT Blue Line,13.7233,100.4647
Phetkasem 40,เพชรเกษม 40,MRT Blue Line,13.7249,100.4551
Phetkasem 28,เพชรเกษม 28,MRT Blue Line,13.7222,100.4419
Phasi Charoen (MRT),ภาษีเจริญ,MRT Blue Line,13.7192,100.4306
Bang Khae,บางแค,MRT Blue Line,13.7211,100.4147
Lak Song (MRT),หลักสอง,MRT Blue Line,13.7194,100.4012
