Station_Name_EN__c,Station_Name_TH__c,Line__c,Location__Latitude__s,Location__Longitude__s
Ha Yaek Lat Phrao,ห้าแยกลาดพร้าว,BTS Sukhumvit,13.8149,100.5620
Phahon Yothin 24,พหลโยธิน 24,BTS Sukhumvit,13.8221,100.5645
Ratchayothin,รัชโยธิน,BTS Sukhumvit,13.8297,100.5665
Sena Nikhom,เสนานิคม,BTS Sukhumvit,13.8368,100.5693
Kasetsart University,ม.เกษตรศาสตร์,BTS Sukhumvit,13.8453,100.5717
Royal Forest Department,กรมป่าไม้,BTS Sukhumvit,13.8510,100.5743
Bang Bua,บางบัว,BTS Sukhumvit,13.8567,100.5769
Infantry Regiment 11,กรมทหารราบที่ 11,BTS Sukhumvit,13.8624,100.5795
Wat Phra Sri Mahathat,วัดพระศรีมหาธาตุ,BTS Sukhumvit,13.8681,100.5821
Phahon Yothin 59,พหลโยธิน 59,BTS Sukhumvit,13.8738,100.5847
Sai Yut,สายหยุด,BTS Sukhumvit,13.8795,100.5873
Saphan Mai,สะพานใหม่,BTS Sukhumvit,13.8852,100.5899
Bhumibol Adulyadej Hospital,รพ.ภูมิพลอดุลยเดช,BTS Sukhumvit,13.8909,100.5925
Royal Thai Air Force Museum,พิพิธภัณฑ์กองทัพอากาศ,BTS Sukhumvit,13.8966,100.5951
Yaek Kor Por Or,แยก คปอ.,BTS Sukhumvit,13.9023,100.5977
Khu Khot,คูคต,BTS Sukhumvit,13.9080,100.6003
